date,open,high,low,close,volume
2018-12-21T20:00:00,10573.08,10654.66,10512.64,10633.82,0
2018-12-27T20:00:00,10607.42,10635.45,10279.20,10381.51,0
2018-12-28T20:00:00,10452.02,10586.80,10431.38,10558.96,0
2019-01-02T20:00:00,10477.77,10612.72,10386.97,10580.19,0
2019-01-03T20:00:00,10467.11,10538.66,10400.11,10416.66,0
2019-01-04T20:00:00,10533.94,10786.34,10483.90,10767.69,0
2019-01-07T20:00:00,10814.39,10814.47,10681.27,10747.81,0
2019-01-08T20:00:00,10750.19,10910.71,10745.03,10803.98,0
2019-01-09T20:00:00,10884.75,10961.92,10839.09,10893.32,0
2019-01-10T20:00:00,10843.89,10927.13,10788.05,10921.59,0
2019-01-11T20:00:00,10949.13,10959.00,10829.92,10887.46,0
2019-01-14T20:00:00,10820.85,10886.23,10786.75,10855.91,0
2019-01-15T20:00:00,10962.95,10994.83,10812.59,10891.79,0
2019-01-16T20:00:00,10940.36,10947.87,10866.39,10931.24,0
2019-01-17T20:00:00,10852.50,10929.30,10822.25,10918.62,0
2019-01-18T20:00:00,11001.31,11216.82,10993.83,11205.54,0
2019-01-21T20:00:00,11176.12,11179.91,11125.53,11136.20,0
2019-01-22T20:00:00,11076.98,11142.22,11034.55,11090.11,0
2019-01-23T20:00:00,11043.64,11135.75,11007.21,11071.54,0
2019-01-24T20:00:00,11045.64,11149.32,11032.53,11130.18,0
2019-01-25T20:00:00,11234.05,11321.62,11218.35,11281.79,0
2019-01-28T20:00:00,11233.16,11275.21,11196.42,11210.31,0
2019-01-29T20:00:00,11191.52,11276.28,11159.17,11218.83,0
2019-01-30T20:00:00,11210.68,11215.21,11132.38,11181.66,0
2019-01-31T20:00:00,11257.92,11311.37,11051.11,11173.10,0
2019-02-01T20:00:00,11198.46,11218.51,11116.08,11180.66,0
2019-02-04T20:00:00,11180.42,11209.31,11100.34,11176.58,0
2019-02-05T20:00:00,11178.75,11371.74,11177.70,11367.98,0
2019-02-06T20:00:00,11337.54,11347.94,11297.42,11324.72,0
2019-02-07T20:00:00,11262.97,11286.46,11022.02,11022.02,0
2019-02-08T20:00:00,10991.79,11045.41,10863.56,10906.78,0
2019-02-11T20:00:00,10955.83,11041.95,10944.58,11014.59,0
2019-02-12T20:00:00,11123.43,11164.38,11116.86,11126.08,0
2019-02-13T20:00:00,11174.85,11217.30,11125.59,11167.22,0
2019-02-14T20:00:00,11257.80,11260.55,11077.78,11089.79,0
2019-02-15T20:00:00,11044.80,11323.05,11018.95,11299.80,0
2019-02-18T20:00:00,11287.74,11318.19,11256.27,11299.20,0
2019-02-19T20:00:00,11280.73,11371.44,11244.52,11309.21,0
2019-02-20T20:00:00,11338.74,11437.47,11318.74,11401.97,0
2019-02-21T20:00:00,11448.65,11454.44,11392.27,11423.28,0
2019-02-22T20:00:00,11422.62,11504.71,11420.74,11457.70,0
2019-02-25T20:00:00,11517.76,11544.31,11480.49,11505.39,0
2019-02-26T20:00:00,11446.29,11556.87,11441.87,11540.79,0
2019-02-27T20:00:00,11493.81,11521.22,11442.97,11487.33,0
2019-02-28T20:00:00,11430.80,11524.99,11416.08,11515.64,0
2019-03-01T20:00:00,11584.24,11676.86,11583.08,11601.68,0
2019-03-04T20:00:00,11646.21,11650.44,11591.74,11592.66,0
2019-03-05T20:00:00,11570.97,11627.78,11551.45,11620.74,0
2019-03-06T20:00:00,11593.21,11652.77,11565.22,11587.63,0
2019-03-07T20:00:00,11546.42,11612.95,11452.86,11517.80,0
2019-03-08T20:00:00,11429.77,11475.55,11405.21,11457.84,0
2019-03-11T20:00:00,11497.98,11550.59,11462.90,11543.48,0
2019-03-12T20:00:00,11612.46,11618.73,11499.47,11524.17,0
2019-03-13T20:00:00,11499.32,11586.90,11486.74,11572.41,0
2019-03-14T20:00:00,11573.42,11635.76,11541.10,11587.47,0
2019-03-15T20:00:00,11608.67,11725.66,11575.33,11685.69,0
2019-03-18T20:00:00,11685.54,11712.36,11635.88,11657.06,0
2019-03-19T20:00:00,11672.76,11823.29,11652.02,11788.41,0
2019-03-20T20:00:00,11704.44,11721.41,11596.20,11603.89,0
2019-03-21T20:00:00,11566.87,11582.54,11467.79,11549.96,0
2019-03-22T20:00:00,11578.39,11623.97,11356.49,11364.17,0
2019-03-25T20:00:00,11323.20,11392.00,11312.54,11346.65,0
2019-03-26T20:00:00,11374.18,11447.13,11299.80,11419.48,0
2019-03-27T20:00:00,11439.02,11502.35,11368.13,11419.04,0
2019-03-28T20:00:00,11422.16,11494.15,11414.66,11428.16,0
2019-03-29T20:00:00,11492.09,11549.42,11442.12,11526.04,0
2019-04-01T20:00:00,11617.18,11706.64,11612.70,11681.99,0
2019-04-02T20:00:00,11703.24,11777.65,11659.15,11754.79,0
2019-04-03T20:00:00,11855.40,11961.36,11854.21,11954.40,0
2019-04-04T20:00:00,11924.61,12029.26,11916.57,11988.01,0
2019-04-05T20:00:00,11993.22,12024.23,11967.70,12009.75,0
2019-04-08T20:00:00,11979.73,11989.59,11948.26,11963.40,0
2019-04-09T20:00:00,11927.01,11988.53,11850.57,11850.57,0
2019-04-10T20:00:00,11864.46,11937.11,11863.80,11905.91,0
2019-04-11T20:00:00,11914.51,11963.43,11846.60,11935.20,0
2019-04-12T20:00:00,11912.58,12031.15,11889.99,11999.93,0
2019-04-15T20:00:00,12011.11,12029.98,11983.33,12020.28,0
2019-04-16T20:00:00,12026.74,12116.25,12025.66,12101.32,0
2019-04-17T20:00:00,12100.44,12195.00,12086.89,12153.07,0
2019-04-18T20:00:00,12138.14,12243.63,12100.00,12222.39,0
2019-04-23T20:00:00,12224.32,12251.81,12182.98,12235.51,0
2019-04-24T20:00:00,12232.99,12349.83,12223.98,12313.16,0
2019-04-25T20:00:00,12304.53,12321.79,12236.14,12282.60,0
2019-04-26T20:00:00,12284.46,12323.64,12259.76,12315.18,0
2019-04-29T20:00:00,12308.98,12376.06,12266.34,12328.02,0
2019-04-30T20:00:00,12313.97,12345.31,12281.72,12344.08,0
2019-05-02T20:00:00,12349.10,12402.87,12303.96,12345.42,0
2019-05-03T20:00:00,12345.32,12435.67,12344.23,12412.75,0
2019-05-06T20:00:00,12171.90,12298.66,12135.42,12286.88,0
2019-05-07T20:00:00,12298.71,12319.05,12056.80,12092.74,0
2019-05-08T20:00:00,12110.87,12208.48,12063.74,12179.93,0
2019-05-09T20:00:00,12098.02,12125.96,11957.31,11973.92,0
2019-05-10T20:00:00,12105.28,12140.61,12009.75,12059.83,0
2019-05-13T20:00:00,12044.10,12052.93,11844.47,11876.65,0
2019-05-14T20:00:00,11908.77,11991.83,11897.93,11991.62,0
2019-05-15T20:00:00,12018.45,12099.57,11862.21,12099.57,0
2019-05-16T20:00:00,12077.36,12310.37,12030.30,12310.37,0
2019-05-17T20:00:00,12252.68,12270.89,12150.33,12238.94,0
2019-05-20T20:00:00,12226.85,12246.50,11993.91,12041.29,0
2019-05-21T20:00:00,12111.80,12178.25,12066.90,12143.47,0
2019-05-22T20:00:00,12141.46,12211.03,12055.50,12168.74,0
2019-05-23T20:00:00,12064.29,12082.75,11926.34,11952.41,0
2019-05-24T20:00:00,12027.31,12082.05,11990.79,12011.04,0
2019-05-27T20:00:00,12077.88,12124.55,12050.49,12071.18,0
2019-05-28T20:00:00,12100.39,12113.31,11992.41,12027.05,0
2019-05-29T20:00:00,11906.02,11927.64,11828.75,11837.81,0
2019-05-30T20:00:00,11885.07,11924.66,11858.29,11902.08,0
2019-05-31T20:00:00,11742.21,11755.12,11662.07,11726.84,0
2019-06-03T20:00:00,11661.12,11793.63,11620.64,11792.81,0
2019-06-04T20:00:00,11716.55,11987.89,11713.87,11971.17,0
2019-06-05T20:00:00,11981.18,12057.73,11928.87,11980.81,0
2019-06-06T20:00:00,11987.92,12076.95,11899.82,11953.14,0
2019-06-07T20:00:00,12003.92,12096.61,11987.17,12045.38,0
2019-06-11T20:00:00,12133.60,12227.40,12117.34,12155.81,0
2019-06-12T20:00:00,12093.98,12132.28,12068.11,12115.68,0
2019-06-13T20:00:00,12095.21,12201.78,12079.60,12169.05,0
2019-06-14T20:00:00,12124.36,12136.65,12049.76,12096.40,0
2019-06-17T20:00:00,12112.47,12124.68,12059.92,12085.82,0
2019-06-18T20:00:00,12069.37,12358.00,11987.55,12331.75,0
2019-06-19T20:00:00,12321.43,12346.70,12291.19,12308.53,0
2019-06-20T20:00:00,12409.58,12438.37,12355.39,12355.39,0
2019-06-21T20:00:00,12351.98,12425.20,12316.41,12339.92,0
2019-06-24T20:00:00,12308.11,12341.56,12250.71,12274.57,0
2019-06-25T20:00:00,12226.88,12284.57,12213.41,12228.44,0
2019-06-26T20:00:00,12210.52,12315.84,12189.49,12245.32,0
2019-06-27T20:00:00,12308.26,12334.57,12209.34,12271.03,0
2019-06-28T20:00:00,12302.77,12408.22,12297.63,12398.80,0
2019-07-01T20:00:00,12616.34,12619.68,12519.30,12521.38,0
2019-07-02T20:00:00,12546.93,12548.22,12484.26,12526.72,0
2019-07-03T20:00:00,12548.30,12631.81,12545.79,12616.24,0
2019-07-04T20:00:00,12644.35,12656.05,12616.29,12629.90,0
2019-07-05T20:00:00,12632.12,12632.12,12522.11,12568.53,0
2019-07-08T20:00:00,12541.18,12587.44,12507.72,12543.51,0
2019-07-09T20:00:00,12436.97,12477.58,12364.16,12436.55,0
2019-07-10T20:00:00,12412.99,12448.81,12356.80,12373.41,0
2019-07-11T20:00:00,12401.02,12417.93,12307.34,12332.12,0
2019-07-12T20:00:00,12318.50,12354.87,12304.98,12323.32,0
2019-07-15T20:00:00,12346.59,12434.14,12301.08,12387.34,0
2019-07-16T20:00:00,12392.19,12465.19,12366.97,12430.97,0
2019-07-17T20:00:00,12429.87,12453.33,12324.33,12341.03,0
2019-07-18T20:00:00,12194.33,12296.30,12172.59,12227.85,0
2019-07-19T20:00:00,12302.64,12340.11,12211.67,12260.07,0
2019-07-22T20:00:00,12243.58,12346.02,12236.70,12289.40,0
2019-07-23T20:00:00,12384.66,12531.16,12369.19,12490.74,0
2019-07-24T20:00:00,12510.52,12550.34,12476.55,12522.89,0
2019-07-25T20:00:00,12576.02,12599.93,12299.10,12362.10,0
2019-07-26T20:00:00,12363.86,12428.05,12356.15,12419.90,0
2019-07-29T20:00:00,12398.29,12473.97,12387.58,12417.47,0
2019-07-30T20:00:00,12398.24,12404.51,12115.28,12147.24,0
2019-07-31T20:00:00,12149.09,12226.49,12139.03,12189.04,0
2019-08-01T20:00:00,12134.71,12254.03,12129.33,12253.15,0
2019-08-02T20:00:00,12033.68,12034.91,11836.75,11872.44,0
2019-08-05T20:00:00,11758.44,11797.52,11628.57,11658.51,0
2019-08-06T20:00:00,11690.27,11748.83,11567.96,11567.96,0
2019-08-07T20:00:00,11636.34,11747.74,11559.76,11650.15,0
2019-08-08T20:00:00,11752.96,11845.41,11683.99,11845.41,0
2019-08-09T20:00:00,11806.82,11865.63,11674.11,11693.80,0
2019-08-12T20:00:00,11801.06,11836.97,11647.01,11679.68,0
2019-08-13T20:00:00,11632.85,11835.88,11539.63,11750.13,0
2019-08-14T20:00:00,11758.75,11759.57,11459.37,11492.66,0
2019-08-15T20:00:00,11522.46,11530.01,11266.48,11412.67,0
2019-08-16T20:00:00,11460.65,11578.84,11447.34,11562.74,0
2019-08-19T20:00:00,11679.72,11759.00,11625.67,11715.37,0
2019-08-20T20:00:00,11711.78,11764.93,11618.93,11651.18,0
2019-08-21T20:00:00,11673.66,11824.66,11673.37,11802.85,0
2019-08-22T20:00:00,11756.21,11853.14,11715.26,11747.04,0
2019-08-23T20:00:00,11805.48,11823.12,11611.51,11611.51,0
2019-08-26T20:00:00,11619.66,11696.78,11551.99,11658.04,0
2019-08-27T20:00:00,11638.51,11778.62,11616.09,11730.02,0
2019-08-28T20:00:00,11704.67,11717.79,11573.64,11701.02,0
2019-08-29T20:00:00,11686.84,11853.91,11661.73,11838.88,0
2019-08-30T20:00:00,11850.30,11989.44,11845.16,11939.28,0
2019-09-02T20:00:00,11939.99,11994.11,11929.91,11953.78,0
2019-09-03T20:00:00,11921.94,11956.69,11869.28,11910.86,0
2019-09-04T20:00:00,12043.96,12078.40,11999.83,12025.04,0
2019-09-05T20:00:00,12117.90,12151.31,12084.17,12126.78,0
2019-09-06T20:00:00,12146.00,12205.10,12131.29,12191.73,0
2019-09-09T20:00:00,12210.87,12245.11,12189.60,12226.10,0
2019-09-10T20:00:00,12210.88,12292.14,12179.88,12268.71,0
2019-09-11T20:00:00,12341.84,12394.28,12317.61,12359.07,0
2019-09-12T20:00:00,12399.40,12471.83,12311.81,12410.25,0
2019-09-13T20:00:00,12412.72,12494.25,12408.93,12468.53,0
